Symbol,Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
AAPL,1626701400,0,19-07-2021 13:30,143.75,144.070007,142.570007,142.820007,10385043
AAPL,1626701700,0,19-07-2021 13:35,143,143.441696,142.970001,143.300003,3185518
AAPL,1626702000,0,19-07-2021 13:40,143.25,143.710006,143.100006,143.634994,2678230
AAPL,1626702300,0,19-07-2021 13:45,143.625,143.809997,143.070007,143.175003,2271256
AAPL,1626702600,0,19-07-2021 13:50,143,143.039993,142.339996,142.490005,3028358
AAPL,1626702900,0,19-07-2021 13:55,142.5,142.550003,142.020004,142.039993,2759691
AAPL,1626703200,0,19-07-2021 14:00,142.044998,142.419998,141.899993,142.350006,2757069
AAPL,1626703500,0,19-07-2021 14:05,142.345001,142.550003,142,142.033004,2347836
AAPL,1626703800,0,19-07-2021 14:10,142.039993,142.145004,141.759994,141.820007,2302476
AAPL,1626704100,0,19-07-2021 14:15,141.820007,142.119995,141.669998,142.11,2279132
AAPL,1626704400,0,19-07-2021 14:20,142.11,142.220001,141.86,141.964996,2064346
AAPL,1626704700,0,19-07-2021 14:25,141.964996,142.410003,141.695007,142.399993,1862046
AAPL,1626705000,0,19-07-2021 14:30,142.404998,142.404998,142.050903,142.185806,1593388
AAPL,1626705300,0,19-07-2021 14:35,142.190002,142.419998,141.960006,142.419998,1419669
AAPL,1626705600,0,19-07-2021 14:40,142.419998,142.764999,142.36,142.642593,1683357
AAPL,1626705900,0,19-07-2021 14:45,142.639999,142.740005,142.479995,142.740005,1135575
AAPL,1626706200,0,19-07-2021 14:50,142.740005,142.949996,142.660003,142.675003,1484252
AAPL,1626706500,0,19-07-2021 14:55,142.669998,143.050003,142.559997,143.031402,1361243
AAPL,1626706800,0,19-07-2021 15:00,143.039993,143.270004,142.850006,143.264999,1422673
AAPL,1626707100,0,19-07-2021 15:05,143.264999,143.545394,143.214996,143.524993,1339671
AAPL,1626707400,0,19-07-2021 15:10,143.524993,143.589996,143.240005,143.25,969971
AAPL,1626707700,0,19-07-2021 15:15,143.240493,143.490005,143.190002,143.324996,859666
